run_id,episode,total_reward,avg_temp_zone0,avg_temp_zone1,avg_temp_zone2,avg_energy,epsilon
exp-qlearning-2,1,-18.56,21.43,21.28,25.17,1.812,0.4975
exp-qlearning-2,2,-60.23,21.92,23.65,24.21,1.958,0.495
exp-qlearning-2,3,-72.82,21.66,24.97,24.61,1.562,0.4925
exp-qlearning-2,4,-44.39,20.48,23.24,22.57,2.021,0.4901
exp-qlearning-2,5,24.05,24.47,22.34,24.72,1.396,0.4876
exp-qlearning-2,6,-236.2,21.47,16.94,24.19,2.271,0.4852
exp-qlearning-2,7,-161.28,23.0,19.31,24.71,1.875,0.4828
exp-qlearning-2,8,-6.89,22.62,23.45,25.35,1.604,0.4803
exp-qlearning-2,9,3.8,22.56,20.92,23.91,1.833,0.4779
exp-qlearning-2,10,19.77,22.61,24.73,23.45,1.438,0.4756
exp-qlearning-2,11,-71.28,21.71,22.41,24.93,1.708,0.4732
exp-qlearning-2,12,-115.03,20.4,20.86,23.19,2.438,0.4708
exp-qlearning-2,13,-79.49,23.06,24.49,25.62,1.271,0.4685
exp-qlearning-2,14,11.1,24.25,21.64,23.86,1.583,0.4661
exp-qlearning-2,15,-166.38,23.69,22.67,27.15,1.188,0.4638
exp-qlearning-2,16,-13.66,22.26,19.15,23.65,1.875,0.4615
exp-qlearning-2,17,15.99,24.15,23.53,25.56,1.333,0.4592
exp-qlearning-2,18,-35.0,22.69,23.46,23.63,1.521,0.4569
exp-qlearning-2,19,-21.04,23.26,22.63,21.33,1.833,0.4546
exp-qlearning-2,20,-34.05,22.12,18.9,24.21,1.896,0.4523
exp-qlearning-2,21,-156.22,19.72,17.35,23.09,2.354,0.45
exp-qlearning-2,22,-29.84,23.04,23.52,25.82,1.583,0.4478
exp-qlearning-2,23,-95.68,21.31,20.44,21.72,1.938,0.4456
exp-qlearning-2,24,-116.79,21.04,23.22,27.21,1.333,0.4433
exp-qlearning-2,25,-20.91,21.75,22.14,22.72,1.979,0.4411
exp-qlearning-2,26,-138.46,21.35,19.05,22.82,2.583,0.4389
exp-qlearning-2,27,33.66,24.6,22.07,24.44,1.458,0.4367
exp-qlearning-2,28,-16.84,25.27,22.35,23.5,1.646,0.4345
exp-qlearning-2,29,-101.84,23.18,25.49,26.12,1.292,0.4324
exp-qlearning-2,30,62.04,21.02,23.19,23.63,1.792,0.4302
exp-qlearning-2,31,35.43,23.47,23.45,24.38,1.583,0.428
exp-qlearning-2,32,-3.47,23.66,21.19,24.09,1.812,0.4259
exp-qlearning-2,33,-27.22,23.16,22.82,24.85,1.729,0.4238
exp-qlearning-2,34,3.01,22.21,22.28,22.33,2.062,0.4217
exp-qlearning-2,35,-14.7,22.23,20.52,23.55,2.0,0.4195
exp-qlearning-2,36,-46.5,20.26,22.55,23.36,1.958,0.4174
exp-qlearning-2,37,-175.0,22.63,22.11,25.63,1.25,0.4154
exp-qlearning-2,38,-25.68,23.62,19.31,23.05,2.042,0.4133
exp-qlearning-2,39,-15.16,24.77,21.64,23.63,1.479,0.4112
exp-qlearning-2,40,-88.08,22.9,21.09,25.3,1.646,0.4092
exp-qlearning-2,41,-20.86,23.07,20.28,22.72,1.896,0.4071
exp-qlearning-2,42,-57.55,18.25,23.55,23.09,1.896,0.4051
exp-qlearning-2,43,17.68,24.95,22.88,24.35,1.396,0.4031
exp-qlearning-2,44,-69.19,21.63,22.27,23.38,1.958,0.401
exp-qlearning-2,45,-28.48,23.23,24.22,25.37,1.438,0.399
exp-qlearning-2,46,-44.45,25.09,19.52,24.64,1.667,0.397
exp-qlearning-2,47,-63.83,23.52,24.85,26.94,1.0,0.3951
exp-qlearning-2,48,20.11,21.07,21.1,23.76,2.042,0.3931
exp-qlearning-2,49,-121.96,25.74,21.7,23.03,1.729,0.3911
exp-qlearning-2,50,53.24,22.01,24.58,23.8,1.417,0.3892
exp-qlearning-2,51,0.85,22.42,21.37,24.34,1.667,0.3872
exp-qlearning-2,52,-111.05,21.98,20.66,23.14,1.833,0.3853
exp-qlearning-2,53,-117.0,23.12,20.98,25.86,1.542,0.3833
exp-qlearning-2,54,-130.68,20.79,21.76,21.02,2.188,0.3814
exp-qlearning-2,55,138.59,21.8,23.6,24.61,1.542,0.3795
exp-qlearning-2,56,46.57,22.65,24.07,23.95,1.5,0.3776
exp-qlearning-2,57,-31.12,21.49,20.29,23.5,1.938,0.3757
exp-qlearning-2,58,-13.51,23.13,24.37,24.47,1.5,0.3739
exp-qlearning-2,59,-87.02,23.32,24.08,26.68,1.0,0.372
exp-qlearning-2,60,-81.65,22.74,23.25,25.69,1.25,0.3701
exp-qlearning-2,61,43.75,22.15,22.54,21.21,2.125,0.3683
exp-qlearning-2,62,5.05,22.1,22.09,23.23,1.792,0.3664
exp-qlearning-2,63,54.46,22.37,22.72,23.34,1.812,0.3646
exp-qlearning-2,64,-13.17,24.13,23.47,26.32,1.083,0.3628
exp-qlearning-2,65,23.72,22.46,24.1,25.19,1.5,0.361
exp-qlearning-2,66,-69.61,21.34,25.41,26.64,1.188,0.3592
exp-qlearning-2,67,58.25,23.52,21.53,24.07,1.604,0.3574
exp-qlearning-2,68,46.86,23.55,23.18,24.71,1.438,0.3556
exp-qlearning-2,69,36.08,21.83,23.19,24.84,1.604,0.3538
exp-qlearning-2,70,-11.92,23.96,21.83,25.59,1.375,0.352
exp-qlearning-2,71,60.28,20.6,22.08,24.6,1.771,0.3503
exp-qlearning-2,72,-59.11,22.2,20.98,24.33,1.979,0.3485
exp-qlearning-2,73,0.88,21.07,22.49,21.27,1.917,0.3468
exp-qlearning-2,74,-40.65,21.71,21.97,26.21,1.396,0.345
exp-qlearning-2,75,18.27,19.91,23.15,23.54,1.812,0.3433
exp-qlearning-2,76,-5.03,21.05,23.98,24.98,1.625,0.3416
exp-qlearning-2,77,50.89,23.54,23.64,25.49,1.375,0.3399
exp-qlearning-2,78,-58.27,23.22,19.01,22.79,2.0,0.3382
exp-qlearning-2,79,56.24,23.67,22.82,22.79,1.875,0.3365
exp-qlearning-2,80,17.56,20.2,23.2,22.52,2.062,0.3348
exp-qlearning-2,81,16.91,24.58,21.76,24.14,1.458,0.3331
exp-qlearning-2,82,93.56,22.2,22.66,24.35,1.5,0.3315
exp-qlearning-2,83,-10.95,22.52,22.53,25.25,1.625,0.3298
exp-qlearning-2,84,-23.04,21.36,22.61,24.96,1.542,0.3282
exp-qlearning-2,85,-17.97,21.82,20.32,23.61,2.0,0.3265
exp-qlearning-2,86,14.01,22.87,24.91,25.45,1.188,0.3249
exp-qlearning-2,87,15.15,19.62,20.87,23.74,2.167,0.3233
exp-qlearning-2,88,10.79,21.76,24.79,24.72,1.417,0.3217
exp-qlearning-2,89,-85.47,20.31,20.8,23.33,2.229,0.3201
