run_id,episode,total_reward,avg_temp_zone0,avg_temp_zone1,avg_temp_zone2,avg_energy,epsilon
exp-qlearning-1,1,-132.81,23.7,22.65,26.4,1.083,0.297
exp-qlearning-1,2,-210.46,25.06,25.97,27.75,0.833,0.294
exp-qlearning-1,3,-16.51,23.07,25.57,25.81,0.958,0.2911
exp-qlearning-1,4,-21.0,22.51,22.61,25.61,1.458,0.2882
exp-qlearning-1,5,-104.7,25.34,23.64,23.69,1.292,0.2853
exp-qlearning-1,6,-77.61,23.87,23.36,25.81,1.292,0.2824
exp-qlearning-1,7,-4.28,24.52,21.17,25.35,1.604,0.2796
exp-qlearning-1,8,-150.93,26.55,22.36,26.02,1.021,0.2768
exp-qlearning-1,9,-130.29,22.7,23.33,26.8,1.188,0.2741
exp-qlearning-1,10,-141.17,21.67,22.21,25.73,1.521,0.2713
exp-qlearning-1,11,122.26,22.66,23.85,25.07,1.333,0.2686
exp-qlearning-1,12,11.9,23.59,23.49,26.34,1.188,0.2659
exp-qlearning-1,13,19.05,24.02,22.4,24.56,1.521,0.2633
exp-qlearning-1,14,-8.34,24.51,23.66,24.8,1.292,0.2606
exp-qlearning-1,15,-147.95,26.83,21.56,25.6,0.958,0.258
exp-qlearning-1,16,-91.29,24.24,21.94,25.21,1.208,0.2554
exp-qlearning-1,17,26.09,23.63,21.97,24.38,1.438,0.2529
exp-qlearning-1,18,-93.02,23.72,26.77,26.81,0.688,0.2504
exp-qlearning-1,19,-71.05,21.58,23.38,26.17,1.312,0.2479
exp-qlearning-1,20,-11.57,25.35,24.7,25.41,1.083,0.2454
exp-qlearning-1,21,-24.38,23.15,24.56,26.62,1.229,0.2429
exp-qlearning-1,22,-165.23,25.34,22.36,27.15,0.875,0.2405
exp-qlearning-1,23,20.0,24.56,23.48,25.99,1.062,0.2381
exp-qlearning-1,24,19.37,22.74,24.02,24.74,1.479,0.2357
exp-qlearning-1,25,34.5,24.54,20.93,25.02,1.542,0.2333
exp-qlearning-1,26,-79.29,24.31,24.41,27.63,0.792,0.231
exp-qlearning-1,27,78.79,24.26,23.02,26.01,1.146,0.2287
exp-qlearning-1,28,-34.7,24.09,24.77,27.0,0.979,0.2264
exp-qlearning-1,29,-181.69,22.34,20.47,24.3,1.646,0.2242
exp-qlearning-1,30,-62.15,24.18,23.18,27.16,0.958,0.2219
exp-qlearning-1,31,-5.56,22.0,23.26,25.36,1.354,0.2197
exp-qlearning-1,32,37.5,22.37,21.09,25.35,1.5,0.2175
exp-qlearning-1,33,-40.16,24.11,23.69,26.75,1.062,0.2153
exp-qlearning-1,34,-136.43,23.33,25.22,26.46,1.417,0.2132
exp-qlearning-1,35,-63.75,23.27,24.03,27.25,1.104,0.211
exp-qlearning-1,36,-173.07,23.04,22.87,27.1,1.208,0.2089
exp-qlearning-1,37,-44.01,23.69,23.7,27.63,0.958,0.2068
exp-qlearning-1,38,42.7,23.14,23.73,24.8,1.312,0.2048
exp-qlearning-1,39,-55.25,23.7,22.15,25.64,1.375,0.2027
exp-qlearning-1,40,53.13,23.2,23.27,24.49,1.375,0.2007
exp-qlearning-1,41,-95.89,21.96,25.17,26.65,1.167,0.1987
exp-qlearning-1,42,66.67,24.38,23.27,24.87,1.375,0.1967
exp-qlearning-1,43,38.57,25.14,21.85,25.16,1.312,0.1947
exp-qlearning-1,44,23.31,23.26,24.65,26.25,1.125,0.1928
exp-qlearning-1,45,-106.65,23.62,21.37,26.48,1.271,0.1909
exp-qlearning-1,46,70.52,24.2,22.83,25.38,1.333,0.1889
exp-qlearning-1,47,54.47,23.78,23.11,26.23,1.25,0.1871
